CUI,RELA,CUI2
C0024530,may_be_prevented_by,C0688461
C0024530,related_to,C0030499
C0024530,related_to,C1456578
C0024530,disease_has_associated_gene,C1706544
C0024530,disease_has_associated_gene,C1334074
C0018790,may_be_treated_by,C2701326
C0018790,answer_to,C3260970
C0018790,may_be_treated_by,C1962152
C0032285,manifestation_of,C0221026
C0032285,may_be_treated_by,C3700911
C0032285,concept_in_subset,C3828488
C0032285,answer_to,C1632372
C0032285,disease_has_associated_anatomic_site,C0024109
C0015967,manifestation_of,C2697310
C0015967,induced_by,C0776544
C0015967,may_be_treated_by,C0000970
C0015967,may_be_treated_by,C0025152
C0015967,may_be_treated_by,C2684300
C0015967,manifestation_of,C3554540
C0002871,may_be_treated_by,C0777393
C0002871,manifestation_of,C1851970
C0002871,related_to,C0042849
C0002871,manifestation_of,C0549463
C0021099,may_be_treated_by,C0724641
C0021099,disease_has_primary_anatomic_site,C1123023
C0021099,related_to,C0038395
C0021099,manifestation_of,C1856245
C0024530,may_be_prevented_by,C1639494
C0024530,has_contraindicated_drug,C0690252
C0024530,related_to,C0030499
C0024530,may_be_prevented_by,C1177631
C0024530,answer_to,C2706779
C0024530,may_be_prevented_by,C1639494
