CUI,RELA,CUI2
C0002871,may_be_associated_disease_of_disease,C0856024
,,
C0002871,is_associated_disease_of,C2347748
,,
C0006277,manifestation_of,C2750790
C0006277,may_be_treated_by,C2947911
C0023418,disease_has_associated_gene,C1334518
C0024299,manifestation_of,C0265325
,,
C0024299,human_disease_maps_to_eo_disease,C1511342
C0003864,related_to,C0022408
C0003864,disease_has_associated_anatomic_site,C1516798
C0007789,may_be_treated_by,C0687971
C0007789,disease_has_associated_anatomic_site,C0027763
C0020676,manifestation_of,C3494506
C0020676,disease_has_primary_anatomic_site,C0040132
C0029456,manifestation_of,C1850168
C0029456,may_be_prevented_by,C0975148
C0029456,disease_has_associated_anatomic_site,C0262950
,,
,,
,,
,,
C0024530,related_to,C1456578
C0024530,may_be_prevented_by,C1177631
,,
,,
,,
C0024530,may_be_prevented_by,C1177631
C0024530,answer_to,C2706779
C0018790,component_of,C2925643
C0018790,manifestation_of,C3554047
C0018790,may_be_treated_by,C3486191
C0032285,may_be_treated_by,C0980385
,,
C0015967,may_be_finding_of_disease,C0855628
C0015967,manifestation_of,C2749604
